#tissue	P_value	Fold_change
endothelial_cell	0.0036763915739966868	2.3009046026779343
endothelial_cell_of_vascular_tree	0.004628760366535735	2.2916695400039253
fibroblast_of_gingiva	0.06771163955518497	1.33032849701918
mature_alpha-beta_T_cell	0.05421038542010428	1.7772898301086857
smooth_muscle_cell_of_the_pulmonary_artery	0.034995209900374635	1.8836073465469143
mesenchymal_stem_cell_of_umbilical_cord	0.02836266106269263	1.6651815610844858
perirenal_adipocyte_cell	0.2672760741458979	1.180629646660876
chorionic_membrane_mesenchymal_stem_cell	0.01881301400280261	1.8443847975136674
columnar/cuboidal_epithelial_cell	0.2050218029603379	1.0748255265949866
hair_follicle_dermal_papilla_cell	0.0011264548190006386	2.7389072912496712
uterine_smooth_muscle_cell	0.9074017774426428	0.00475382364133921
tracheal_epithelial_cell	0.4866830502475869	0.8339960574495828
epithelial_cell_of_tracheobronchial_tree	0.09019458200076108	1.4348852273419996
skeletal_muscle_myoblast	0.0029517125309600745	2.016120855598129
retinal_pigment_epithelial_cell	0.024882710648149318	1.718346331600268
perirenal_preadipocyte	0.01482991562905099	1.9313543023275137
pigment_cell	0.021680067652932216	1.7346261324204764
astrocyte_of_the_cerebellum	0.125741391819708	1.315506888072546
placental_epithelial_cell	0.044356889854315275	1.5500991796297703
trabecular_meshwork_cell	0.2097317308658886	0.1743179439723957
CD8-positive_alpha-beta_T_cell	0.05912276430551526	1.7585999155763556
osteoblast	0.0480198016572373	0.33674520575042377
smooth_muscle_cell	0.006825358058066583	2.131624490093261
preadipocyte_of_the_breast	0.42875025274105805	0.008476102970841209
stuff_accumulating_cell	0.05174789089338325	1.5531134639964808
supportive_cell	0.1366867343847687	0.26847424665865544
bone_cell	0.4621606466820711	0.789117122763303
human_renal_cortical_epithelial_cell_sample	0.0004492439736185688	3.0481287485840185
fibroblast_of_villous_mesenchyme	0.22351980992232728	0.1108804003556206
general_ecto-epithelial_cell	0.018940335905596146	1.7631996265758776
intestinal_epithelial_cell	0.40450805771246956	0.8617605391396017
muscle_precursor_cell	0.001201427502282494	2.1325976775887323
protein_secreting_cell	0.11500061828974584	1.2422947385952101
epithelial_cell_of_amnion	0.9373179708897323	0.0037306445756521084
Schwann_cell	8.876195567724342e-05	3.0839676171898205
multi_fate_stem_cell	0.04906843688754945	1.4293048542874935
fibroblast_of_lymphatic_vessel	3.0077587678751135e-05	3.472968014430145
keratocyte	0.00012870640879975102	3.325893973051081
cardiocyte	0.04663466058695361	1.5508525753970723
mast_cell	0.18358335314496138	1.2681029869833405
human_diencephalon_-_adult_sample	0.017418567909898725	1.8885153243163246
secretory_cell	0.00014707459178762123	2.857909625890916
epithelial_cell_of_prostate	0.22917995020020282	1.1685996976384974
hepatic_mesenchymal_stem_cell	0.00234265047701035	2.353955076636049
precursor_cell	0.11136165739386339	1.252949606092886
adipocyte_of_breast	0.9382419006954424	0.004380759589932514
urothelial_cell	0.9010997021869893	0.3225685149424009
B_cell	0.002932949085246663	2.564283369243535
human_amniotic_membrane_cell-_Amnion_sample	0.22103410734739404	0.9948802339442593
exocrine_cell	0.01012969594075299	1.861353929202759
extraembryonic_cell	0.2420562450104874	0.1252954858977306
squamous_epithelial_cell	0.05976406412425452	1.3884615224911665
fibroblast_of_lung	0.0026385991048892624	2.738958669452065
non-terminally_differentiated_cell	0.003232608340444581	2.1896946887447015
airway_epithelial_cell	0.09710639680257743	1.3508053450194077
smooth_muscle_cell_of_the_brachiocephalic_vasculature	0.009443267567423403	2.119496055709637
hepatic_stellate_cell	0.005508017823013608	2.1959827595340777
extracellular_matrix_secreting_cell	0.0014921162891293035	2.4498358340486073
amnion_mesenchymal_stem_cell	0.028705856018188307	1.7414198243218775
vascular_associated_smooth_muscle_cell	0.008324617868800427	2.100936506115777
aortic_endothelial_cell	0.015486500298535398	1.8104636058760821
fat_cell	0.06310182974685008	1.1654426298798062
neutrophil	0.0007740868628405165	3.146357869222566
fibroblast_of_choroid_plexus	0.0008590739563794255	2.975428342320195
acinar_cell_of_sebaceous_gland	0.4928933795914545	0.7598576835268582
fibroblast_of_pulmonary_artery	0.1857411622075567	0.8627263566324576
epidermal_cell	0.5072743428387595	0.7071012869477976
pericyte_cell	0.05306016647432201	1.515117610434962
human_amniotic_membrane_cell-_fetal_sample	0.02013839019381679	1.613123408626345
myotube	0.007817447325201355	2.228405915643307
leptomeningeal_cell	0.009464518982127126	1.9450299222516954
immature_conventional_dendritic_cell	0.025186399581566682	1.795717060913957
fibroblast_of_cardiac_tissue	0.0029613139286223393	2.5183479528030706
epithelial_cell_of_alimentary_canal	0.02444579519049604	1.734213448150527
Sertoli_cell	0.09876020799853436	1.2534800339420162
renal_cortical_epithelial_cell	0.017420054937832434	1.8170423105508313
capillary_endothelial_cell	0.37683377425520564	0.6190400226006516
epithelial_cell_of_proximal_tubule	0.00040988481835738116	3.0161653276822786
central_nervous_system_pericyte	0.03475343274619444	1.610872389534637
chondrocyte	0.003371608389870891	2.5826772047014708
hepatocyte	0.023879350085867217	1.7588582761023037
preadipocyte	0.10652928654286997	0.24656891253649404
corneal_epithelial_cell	0.10223437926344747	1.3344028261119916
light_melanocyte	0.5544891377687434	0.7136060457173099
human_CD14-positive_monocyte_sample	0.000466718825456631	3.1370342667769013
non-pigmented_ciliary_epithelial_cell	0.00043778791535656336	3.018211457762814
