#tissue	P_value	Fold_change
endothelial_cell	0.0029363419702692637	2.2938689277145685
endothelial_cell_of_vascular_tree	0.003717584781393696	2.207571893988534
fibroblast_of_gingiva	0.04001853790565621	1.4188587308050526
mature_alpha-beta_T_cell	0.03953549756160111	1.7806795349390634
smooth_muscle_cell_of_the_pulmonary_artery	0.04764203635478269	1.6018746322266821
mesenchymal_stem_cell_of_umbilical_cord	0.021509307580040056	1.7603558146197626
perirenal_adipocyte_cell	0.15629876567621215	1.3120780022966487
chorionic_membrane_mesenchymal_stem_cell	0.01616132074308875	1.8740571933647932
columnar/cuboidal_epithelial_cell	0.15022359795873075	1.1137700240098316
hair_follicle_dermal_papilla_cell	0.0009666274943814977	2.900790667271958
uterine_smooth_muscle_cell	0.9124584238106153	0.004635740705271606
tracheal_epithelial_cell	0.42624661307647993	0.9042260106297406
epithelial_cell_of_tracheobronchial_tree	0.03092380287892237	1.6217682340769795
skeletal_muscle_myoblast	0.001565904837096892	2.254336132065886
retinal_pigment_epithelial_cell	0.0021217831333779726	2.37303319293945
perirenal_preadipocyte	0.019515034289745426	1.8198528600583244
pigment_cell	0.0011347931719434428	2.4814591353249518
astrocyte_of_the_cerebellum	0.061747171766178915	1.4650428720397817
placental_epithelial_cell	0.03872058157424424	1.6519457491807168
trabecular_meshwork_cell	0.11954757145996808	0.36847757400378983
CD8-positive_alpha-beta_T_cell	0.04470033351880966	1.7233003361141919
osteoblast	0.025925905208727996	0.35519935883783144
smooth_muscle_cell	0.004224330601044497	2.185622664690338
preadipocyte_of_the_breast	0.025701604677387392	1.9423405475144175
stuff_accumulating_cell	0.023205926713046953	1.6745191262693617
supportive_cell	0.0847928520196699	0.2774467781089639
bone_cell	0.12164373964670455	1.2537102499024826
human_renal_cortical_epithelial_cell_sample	0.00020846357353057233	3.192485609861436
fibroblast_of_villous_mesenchyme	0.16096976560183124	0.11566652892906401
general_ecto-epithelial_cell	0.019908764117622536	1.705932317378387
intestinal_epithelial_cell	0.36169489041880076	0.8966216468350694
muscle_precursor_cell	0.0011090583588879016	2.426473983191024
protein_secreting_cell	0.07605852324012291	1.3291818677147222
epithelial_cell_of_amnion	0.9222128934436498	0.0037906245506053623
Schwann_cell	2.6598376844397025e-05	3.3973931158843005
multi_fate_stem_cell	0.007054785031779326	1.988809775338029
fibroblast_of_lymphatic_vessel	5.2851278375627406e-05	3.257919466205415
keratocyte	7.729721224038449e-05	3.574425639911684
cardiocyte	0.031425452198031174	1.5415354698265622
mast_cell	0.1971969370318088	1.2690768360303937
human_diencephalon_-_adult_sample	0.010793820630446592	2.0428758254766173
secretory_cell	0.00011121740454830221	3.0574400506375006
epithelial_cell_of_prostate	0.23591202709469022	1.1915004934593503
hepatic_mesenchymal_stem_cell	0.0028336424516709896	2.3450425581320173
precursor_cell	0.009834035969250176	1.8192093248611307
adipocyte_of_breast	0.9171010608646075	0.004624324749022553
urothelial_cell	0.8811866627149589	0.3388699050324542
B_cell	0.0007541832482079977	2.7858724259668066
human_amniotic_membrane_cell-_Amnion_sample	0.20107961090623444	1.0029368828127445
exocrine_cell	0.003567181118159413	2.086799681711483
extraembryonic_cell	0.018822275282344324	0.32884558700762395
squamous_epithelial_cell	0.0036526843220508315	2.011918717395066
fibroblast_of_lung	0.0013230204057075481	2.9268733139153285
non-terminally_differentiated_cell	0.001687808058756826	2.239648650795834
airway_epithelial_cell	0.05655577976648683	1.4735312990886889
smooth_muscle_cell_of_the_brachiocephalic_vasculature	0.00812394352333198	2.033701254578992
hepatic_stellate_cell	0.0013561105315146366	2.4502219175403654
extracellular_matrix_secreting_cell	0.0007318785611404347	2.525757907590207
amnion_mesenchymal_stem_cell	0.011377653070990222	1.9217735098394373
vascular_associated_smooth_muscle_cell	0.006875116407282925	2.12975624185177
aortic_endothelial_cell	0.016340312659278152	1.9333092224027075
fat_cell	0.057526467763972126	1.2247973507918182
neutrophil	0.0009089419598222191	3.077164926134984
fibroblast_of_choroid_plexus	0.0004215925671009624	3.0951590994376215
acinar_cell_of_sebaceous_gland	0.4348787223230862	0.8552195140225913
fibroblast_of_pulmonary_artery	0.05733160451588763	1.361360423118573
epidermal_cell	0.5002262173012124	0.7325792158493966
pericyte_cell	0.027309429115906274	1.5921927570670098
human_amniotic_membrane_cell-_fetal_sample	0.006375108519563712	1.79140999517365
myotube	0.0002673476575870536	2.9522852782521833
leptomeningeal_cell	0.004992023283029223	1.8476777162943256
immature_conventional_dendritic_cell	0.033024821784774484	1.7216071152781798
fibroblast_of_cardiac_tissue	0.004103165217665721	2.471141897448353
epithelial_cell_of_alimentary_canal	0.018585302159867194	1.8900079202780535
Sertoli_cell	0.07174007592844532	1.2936532161884942
renal_cortical_epithelial_cell	0.019704415820025193	1.8067368740069472
capillary_endothelial_cell	0.4560766315265363	0.5938903742660944
epithelial_cell_of_proximal_tubule	0.00038237898144501755	3.2311828310704
central_nervous_system_pericyte	0.01093060305978869	1.6750255426644147
chondrocyte	0.0004988641991859288	2.8585489935994954
hepatocyte	0.016512881837648225	1.8300992508068934
preadipocyte	0.016140455274316387	0.5551139751820429
corneal_epithelial_cell	0.10441672826224052	1.2549874994231938
light_melanocyte	0.5329594955209382	0.7679307563345424
human_CD14-positive_monocyte_sample	0.00021801324340417095	3.276354610791931
non-pigmented_ciliary_epithelial_cell	0.00026427655699893664	3.0614180734883316
phagocyte	0.015873275157290003	1.9106644838979452
mesenchymal_stem_cell	0.012464597158207379	1.787810055347931
human_pineal_gland_-_adult_sample	7.282630512515862e-05	3.4496941740517633
omentum_preadipocyte	0.21963217505356614	0.12700526697872336
human_chondrocyte_re-differentiated_sample	0.0013726383512609219	2.56842462518726
smooth_muscle_cell_sample	0.005739513117005582	2.1096572042685486
human_chondrocyte_de-differentiated_sample	0.0013567409805716828	2.524401611286947
smooth_muscle_cell_of_the_internal_thoracic_artery	0.004510026924052967	2.124828441303061
glial_cell_(sensu_Vertebrata)	0.031207983875790532	1.4969134946421194
mononuclear_cell	0.018362709823117312	1.943218959005018
stromal_cell_of_pancreas	0.04119483185216239	0.35191441868486495
smooth_muscle_cell_of_the_subclavian_artery	0.015087123862927035	1.7383909353103595
pluripotent_stem_cell	0.03984676487419575	1.3726704294008805
nucleus_pulposus_cell_of_intervertebral_disc	0.3544337329065015	0.9397531740314173
mesenchymal_stem_cell_of_Whartons_jelly	0.054373141224619295	1.8130433611754913
smooth_muscle_cell_of_the_umbilical_artery	0.021281677404236265	1.9583117880824223
endothelial_cell_of_hepatic_sinusoid	0.46868031839091817	0.06984538697562499
stromal_cell	0.00026096573378374654	2.8717498425593413
keratinized_cell_of_the_oral_mucosa	0.16371212420485526	1.3418371229010109
fibroblast	0.05498920765001192	1.4026176627263869
fibroblast_of_the_conjunctiva	0.017745560261853463	1.9166055723479631
epithelial_cell	0.0019897191889765853	2.1405718693904823
smooth_muscle_cell_of_the_esophagus	0.00023397296603437295	3.1202316148092097
visceral_preadipocyte	0.00021176030400839712	3.592002408060019
subcutaneous_preadipocyte	0.005969464273749614	2.2101616548205705
human_spinal_cord_-_adult_sample	9.618257819834805e-05	3.3642604511947973
smooth_muscle_cell_of_trachea	0.5749627837436223	0.007863742168857027
fibroblast_of_the_aortic_adventitia	0.0016965537662028765	2.9872569564082645
adipocyte_of_omentum_tissue	0.12524978602751952	1.2435819517083913
smooth_muscle_cell_of_colon	0.01491732504564177	1.8335847901124858
mesangial_cell	0.03387071106963363	1.5071489349781542
vein_endothelial_cell	0.01133891784946861	1.8443088985950993
mast_cell-_heparinase_treated_sample	0.28391515664970124	1.1248403570562038
pneumocyte	0.09625280042805578	1.2296580075809447
meso-epithelial_cell	0.0046336014744671914	2.1284994437785305
nongranular_leukocyte	0.012245606702097313	1.9434885793564622
aortic_smooth_muscle_cell	0.001490827148015169	2.3341654724851963
glomerular_endothelial_cell	0.0008714450167556111	2.8271378649509957
smooth_muscle_cell_of_the_brain_vasculature	0.019071190718761025	1.6807220552825077
endo-epithelial_cell	0.008569438861843259	1.9508428732694052
connective_tissue_cell	0.0447318006389932	0.32983888595915245
fibroblast_of_dermis	0.0052946079785228944	2.4371776143022323
mast_cell-_stimulated_sample	0.0007495950916503073	3.110889286308272
human_pituitary_gland_-_adult_sample	0.0002710433878616797	2.9856442363113036
gingival_epithelial_cell	0.2863428705336708	1.0216113847748725
epithelial_cell_of_nephron	0.012327604994293214	1.8921682662513768
neural_cell	0.023532338623226363	1.7185719951044969
iPS	0.04779288452824485	1.3258205198871444
brain_macroglial_cell	0.024218364423103402	1.5291448385145956
subcutaneous_fat_cell	0.13054836151749577	1.0175765802623284
CD4-positive_alpha-beta_T_cell	0.017071464545515343	2.026140085837225
natural_killer_cell	0.0009213345915644234	2.8606016982379963
neuronal_stem_cell	0.0006753403137786647	2.474829042062363
cell_of_skeletal_muscle	0.001392029655935622	2.237117115636057
vertebral_mesenchymal_stem_cell	0.9999959863321319	1.0000000000000007e-09
leukocyte	0.004200812569754484	2.142531786014944
nephron_tubule_epithelial_cell	0.0023368641742438985	2.574083340154922
skeletal_muscle_satellite_cell	0.0016203805273424365	2.413235231948341
bronchial_smooth_muscle_cell	0.0019240471608310673	2.6570178487507223
GAG_secreting_cell	0.004439911269271839	2.088932553379345
myeloid_leukocyte	0.007283068593482781	1.9281419933559463
ecto-epithelial_cell	0.009260130785023765	1.8114571706990512
fibroblast_of_mammary_gland	0.000260234538103304	2.872911356144985
astrocyte_of_the_cerebral_cortex	0.06005419048877739	1.515218287864348
lining_cell	0.015069795481853897	1.8310712423146556
prostate_stromal_cell	0.06799865150311594	1.4972572075674637
CD14-positive_CD16-negative_classical_monocyte	0.18429709909727154	1.1077125640468566
contractile_cell	0.0008843916090364123	2.608311377269103
adult_endothelial_progenitor_cell	0.02136015893577851	1.8358325040753005
monocyte	0.01119670131388901	1.8159735012271907
smooth_muscle_cell_of_the_coronary_artery	0.0001553029075382552	3.131620557151811
human_mesenchymal_stem_cell_of_umbilical_cord-Sciencell_sample	0.013350824304057502	1.8255360145420527
endothelial_cell_of_artery	0.0006504381314237358	2.9661320681935512
bronchial_epithelial_cell	0.03608977360824314	1.498987230803024
mesenchymal_stem_cell_of_the_bone_marrow	0.03178345974513935	1.730452226953012
blood_vessel_endothelial_cell	0.003688583963622655	2.1824034406187613
synovial_cell	0.00014425119025874333	2.8937579277926826
annulus_pulposus_cell	0.010269047358245374	1.8856278113226017
lymphocyte	0.0005937948690880563	3.0134044884471067
endothelial_cell_of_lymphatic_vessel	0.02488651148306837	1.706263761970644
muscle_cell	0.000727869145651058	2.634325021944263
mesothelial_cell	0.003774695812814103	2.2270700151186054
mammary_gland_epithelial_cell	0.0005949467619279287	3.1146833605678284
macrophage	0.004021740727944868	2.4673364570142473
smooth_muscle_cell_of_the_carotid_artery	0.008652742647557329	2.134417169193407
keratinocyte	0.2785602474731562	1.0352540615476946
thoracic_aorta_endothelial_cell	0.36109215122483135	0.6563140096719712
embryonic_stem_cell	0.431108592089497	0.8485125277877383
fibroblast_of_periodontium	0.000297921391205378	2.7266043386095715
smooth_muscle_cell_of_prostate	0.00017982081636707198	3.4013825461706957
mesenchymal_stem_cell_of_adipose	0.0028645297761675536	2.525619078366277
epithelial_cell_of_esophagus	0.0023286695470818605	2.48803531219027
endothelial_cell_of_umbilical_vein	0.00038671938522097745	2.630480847783492
keratinizing_barrier_epithelial_cell	0.46027262902602284	0.7784246137965329
all	0.008823986041590851	1.3500064350341918
